"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.632291671E-3,1.239887827E-1,1.393588834E-2,-6.003219366E-1,6.131507602E-1
1.358529167E-2,4.314430196E-2,2.482859328E-2,-6.757211977E-1,6.775522319E-1
2.353829167E-2,2.342873331E-2,8.072629385E-2,-4.613803983E-1,4.689749588E-1
3.349129167E-2,-1.257443726E-2,1.443141793E-1,-1.474761343E-1,2.067218155E-1
4.344429167E-2,-6.370084640E-2,1.595227873E-1,1.429527283E-2,1.723649393E-1
5.339729167E-2,-8.042508915E-2,1.729657553E-1,7.938179970E-2,2.066078837E-1
6.335029168E-2,-5.157633411E-2,1.673038233E-1,1.729729182E-1,2.461103776E-1
7.330329168E-2,2.891378704E-2,1.410911941E-1,1.590524518E-1,2.145703022E-1
8.325629168E-2,3.301650418E-2,1.074638569E-1,4.571937919E-2,1.213623983E-1
9.320929168E-2,-2.550427560E-3,1.707127500E-1,-1.354215145E-3,1.707371711E-1
1.031632917E-1,-9.674273115E-3,2.055369392E-1,6.056545973E-3,2.058536050E-1
1.131162917E-1,-2.102730012E-2,2.129110090E-1,-2.376191497E-2,2.152623370E-1
1.230692917E-1,-4.867098056E-2,2.101542661E-1,-1.011527377E-1,2.382552335E-1
1.330222917E-1,1.318656765E-3,2.022499269E-1,-1.387713844E-1,2.452840576E-1
1.429752917E-1,2.667207420E-2,2.207940790E-1,-1.370792001E-1,2.612510899E-1
1.529282917E-1,2.028886987E-2,2.299967925E-1,-9.240588784E-2,2.486946137E-1
1.628812917E-1,4.233117353E-2,2.138815738E-1,-8.511908770E-2,2.340566490E-1
1.728342917E-1,2.144318333E-2,1.985710050E-1,-1.340468341E-1,2.405385788E-1
1.827872917E-1,1.822644727E-2,2.049795534E-1,-6.278506279E-2,2.151529335E-1
1.927402917E-1,3.189135371E-2,1.853586365E-1,-4.373951197E-2,1.931010810E-1
2.026932917E-1,1.212301394E-2,1.751820693E-1,-8.223757982E-2,1.939039567E-1
2.126462917E-1,3.159689158E-2,1.445832244E-1,-5.017612696E-2,1.562700100E-1
2.225992917E-1,2.942245826E-3,1.660547119E-1,1.391754270E-2,1.666628997E-1
2.325522917E-1,3.751701470E-2,2.286922055E-1,-3.043300331E-2,2.337387836E-1
2.425052917E-1,7.886242077E-2,2.837026642E-1,-1.080062592E-1,3.136428464E-1
2.524582917E-1,6.308794856E-2,3.250877217E-1,-1.917319554E-1,3.826529221E-1
2.624112917E-1,2.125106575E-2,3.768786304E-1,-2.645607805E-1,4.609571742E-1
2.723642917E-1,5.115237443E-2,3.893174122E-1,-2.667353600E-1,4.746918634E-1
2.823172917E-1,8.825558899E-2,4.176367933E-1,-2.959100425E-1,5.193960852E-1
2.922702917E-1,5.010681918E-2,4.304784483E-1,-1.715830350E-1,4.661149275E-1
