"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.339961800E-2,-6.465495825E-1,-1.515511423E-2,1.636362076E-1,6.671078238E-1
3.339961800E-2,-6.247526407E-1,-6.731777638E-2,1.591272354E-1,6.482044602E-1
4.339961800E-2,-5.930885077E-1,-1.298390478E-1,1.531038284E-1,6.261413087E-1
5.339961800E-2,-5.576668978E-1,-1.959497929E-1,1.469287872E-1,6.090786146E-1
6.339961800E-2,-5.381529331E-1,-1.564551741E-1,1.429262161E-1,5.783724615E-1
7.339961800E-2,-5.204021931E-1,-1.169369668E-1,1.394500732E-1,5.513066476E-1
8.339961800E-2,-5.003329515E-1,-8.655665815E-2,1.357440948E-1,5.255964010E-1
9.339961800E-2,-4.785363674E-1,-6.912818551E-2,1.318368912E-1,5.011553919E-1
1.033996180E-1,-4.572530985E-1,-6.619359553E-2,1.280612946E-1,4.794389255E-1
1.133996180E-1,-4.374912977E-1,-7.554843277E-2,1.245794296E-1,4.611141242E-1
1.233997290E-1,-4.202940464E-1,-9.374810755E-2,1.215925217E-1,4.474600926E-1
1.333997290E-1,-4.058511257E-1,-1.173185110E-1,1.191587448E-1,4.389505391E-1
1.433982740E-1,-3.929098845E-1,-1.427108049E-1,1.170692444E-1,4.341080040E-1
1.533982740E-1,-3.811410666E-1,-1.683833003E-1,1.152639389E-1,4.323276813E-1
1.633982740E-1,-3.690879345E-1,-1.921560168E-1,1.134729385E-1,4.313072524E-1
1.733982740E-1,-3.578401804E-1,-2.147621214E-1,1.118745804E-1,4.320743978E-1
1.833965400E-1,-3.479409218E-1,-2.360159159E-1,1.105422974E-1,4.347251972E-1
1.933965400E-1,-3.381469250E-1,-2.560568452E-1,1.092634201E-1,4.380033628E-1
2.033965400E-1,-3.302730322E-1,-2.746335566E-1,1.083211899E-1,4.429868467E-1
2.133965400E-1,-3.249517679E-1,-2.919460237E-1,1.078071594E-1,4.499427918E-1
2.233965400E-1,-3.220740557E-1,-3.087558150E-1,1.077127457E-1,4.589813572E-1
2.333965400E-1,-3.200788498E-1,-3.263592124E-1,1.078090668E-1,4.696632842E-1
2.433965400E-1,-1.540757656E0,1.873304129E0,3.137760162E-1,2.445742812E0
2.533965400E-1,-1.497447014E0,1.830563426E0,2.493028641E-1,2.378121514E0
2.633965400E-1,-1.504326105E0,1.819322824E0,1.250724792E-1,2.364016856E0
2.733965400E-1,-1.533269048E0,1.825313330E0,5.572605133E-2,2.384489068E0
2.833965400E-1,-1.624753356E0,1.807734966E0,-9.407997131E-3,2.430600273E0
2.933965400E-1,-1.688898563E0,1.781291962E0,-5.136585236E-2,2.455202204E0
3.033965400E-1,-1.717639685E0,1.735671639E0,-1.054801941E-1,2.444170247E0
3.133965400E-1,-1.727795005E0,1.729028821E0,-2.408256531E-1,2.456178584E0
3.233965400E-1,-1.713445783E0,1.780902505E0,-2.585172653E-1,2.484822199E0
3.333965400E-1,-1.598752260E0,1.865387917E0,-2.733955383E-1,2.471927586E0
