"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
9.568833339E-3,-5.833080009E-2,-1.894556344E-2,-2.375899136E-2,6.577162217E-2
1.952083333E-2,-4.087474175E-2,-1.980218053E-2,-2.534592569E-2,5.201237176E-2
2.947283334E-2,-7.323144246E-3,-1.193416715E-2,-1.881637651E-2,2.345439857E-2
3.942483333E-2,1.723331597E-2,-2.186098516E-2,-2.651891369E-2,3.844662059E-2
4.937683334E-2,-1.987925414E-2,-3.553937674E-2,-1.267621536E-2,4.264878052E-2
5.932883333E-2,-6.381760798E-3,-1.196925044E-2,2.483308833E-2,2.829614997E-2
6.928083334E-2,-4.979295161E-2,2.573359609E-3,7.588220458E-2,9.079685667E-2
7.923283333E-2,-6.582422622E-2,3.148140907E-3,9.612709243E-2,1.165468037E-1
8.918483334E-2,-4.574508866E-2,6.142792404E-2,1.261957777E-1,1.476190275E-1
9.913683333E-2,-7.080616359E-2,1.153222954E-1,1.061444692E-1,1.719866069E-1
1.090888333E-1,-1.165362505E-1,6.439889431E-2,1.122179721E-1,1.741286551E-1
1.190408333E-1,-8.116834335E-2,-2.126515388E-2,7.744925838E-2,1.141879782E-1
1.289928333E-1,-3.248263512E-2,-9.030673742E-2,1.863270085E-2,9.776300911E-2
1.389448333E-1,3.267351016E-3,-1.325288969E-1,-4.585741002E-2,1.402764633E-1
1.488968333E-1,2.084179720E-2,-1.302671939E-1,-6.326800626E-2,1.463105018E-1
1.588488333E-1,2.100977674E-2,-1.576315784E-1,-6.499118071E-2,1.717934190E-1
1.688008333E-1,-7.419111673E-3,-1.394701266E-1,-4.155144732E-2,1.457171308E-1
1.787528333E-1,-4.741353683E-2,-1.244538921E-1,-2.923311811E-2,1.363502473E-1
1.887048333E-1,-2.258463291E-2,-1.289275968E-1,1.676042240E-2,1.319594734E-1
1.986568333E-1,2.513301395E-2,-1.201263678E-1,3.690937936E-2,1.281573834E-1
2.086088333E-1,7.868040791E-2,-8.102135897E-2,7.181137305E-2,1.338354979E-1
