Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
7.324999999E-3,-1.087274402E-1,-3.003188431E-2,-3.259530365E-2,1.174139010E-1
1.727600000E-2,-5.520290516E-2,-6.190578774E-2,-1.429989213E-1,1.653129722E-1
2.722799999E-2,4.201809168E-3,-6.165552691E-2,-2.290711051E-1,2.372606803E-1
3.717899999E-2,-2.613617688E-2,5.277404487E-3,-1.543507057E-1,1.566368127E-1
4.712999999E-2,-8.706460252E-2,9.064368322E-2,1.507412195E-3,1.256932560E-1
5.708099999E-2,-1.277756222E-1,1.486505476E-1,3.701755285E-2,1.994840699E-1
6.703199999E-2,-1.188510901E-1,1.824037461E-1,9.209072292E-2,2.363840296E-1
7.698299999E-2,-1.460400581E-2,1.453986186E-1,9.137502372E-2,1.723468312E-1
8.693399999E-2,5.573200509E-2,1.198024321E-1,-5.320264578E-2,1.424401651E-1
9.688600000E-2,6.433859490E-2,1.330821897E-1,-2.266082579E-1,2.705579911E-1
1.068370000E-1,2.909779161E-2,6.744251624E-2,-3.881755972E-1,3.950638793E-1
1.167880000E-1,-6.263581261E-2,2.787937805E-2,-5.258898050E-1,5.303400717E-1
1.267390000E-1,-3.445764184E-3,6.308999509E-2,-5.985303497E-1,6.018561293E-1
1.366900000E-1,1.655638381E-1,1.747504717E-1,-5.366691470E-1,5.881860974E-1
1.466410000E-1,2.430631267E-1,1.880968876E-1,-2.244728547E-1,3.805892605E-1
1.565930000E-1,2.490640876E-1,1.520458795E-1,2.031860662E-1,3.555776240E-1
1.665440000E-1,6.105466337E-1,8.784374401E-2,2.076059765E-1,6.508332788E-1
1.764950000E-1,7.867001083E-1,5.769637719E-2,3.010281104E-1,8.443008087E-1
1.864460000E-1,7.493313570E-1,2.078262703E-1,3.988058352E-1,8.739195246E-1
1.963970000E-1,1.296652084E0,-2.135552260E-1,4.382622617E-1,1.385274800E0
2.063480000E-1,9.474724455E-1,-7.366977167E-1,5.700327748E-1,1.328670360E0
2.162990000E-1,2.149493119E-1,-5.569136694E-2,-3.196965158E-2,2.243363405E-1
2.262510000E-1,1.915268278E-1,1.432966907E-1,-6.417237318E-1,6.848545942E-1
2.362020000E-1,1.512122127E-1,2.995104656E-2,-6.247229522E-1,6.434601507E-1
2.461530000E-1,-3.219859931E-1,3.415648100E-1,-7.555035317E-1,8.894532509E-1
2.561040000E-1,-6.174953552E-1,2.607279307E-1,-9.946470505E-1,1.199417493E0
2.660545833E-1,-4.335130070E-1,1.069571225E-1,-3.486981207E-1,5.665366120E-1
2.760055833E-1,-2.739787811E-1,2.960654323E-1,2.656384224E-1,4.829936688E-1
2.859575833E-1,-2.182424272E-1,4.829377668E-1,1.291264021E-1,5.454651880E-1
2.959085833E-1,7.210610926E-2,3.677935190E-1,-3.298999071E-3,3.748096144E-1
3.058595833E-1,5.603367756E-1,1.934260400E-1,8.015187800E-2,5.981766116E-1
3.158105833E-1,1.086228189E0,2.810021277E-1,2.407257754E-1,1.147520271E0
3.257615833E-1,1.393201894E0,3.880965136E-1,2.494270170E-1,1.467598126E0
3.357125833E-1,1.347080665E0,2.233557442E-1,1.041757482E-1,1.369440285E0
3.456635833E-1,1.658454254E0,-2.949043945E-1,-7.330712736E-2,1.686064367E0
3.556155833E-1,1.772471451E0,-1.120713897E-1,-2.296043712E-1,1.790791224E0
3.655665833E-1,1.790516251E0,5.872662004E-1,-1.191478363E0,2.229450767E0
3.755175833E-1,1.754620779E0,9.612771370E-1,-1.704706607E0,2.628454380E0
3.854685833E-1,1.328037892E0,8.629551825E-1,-1.897898027E0,2.471920956E0
3.954195833E-1,8.363339791E-1,6.894356228E-1,-1.361296708E0,1.740087564E0
4.053705833E-1,3.429830521E-1,6.426100235E-1,7.969521046E-2,7.327594031E-1
4.153215833E-1,3.101032814E-1,4.589902758E-1,1.707160683E0,1.794779573E0
4.252735833E-1,6.131996982E-1,4.246228272E-1,2.764648930E0,2.863494739E0
4.352245833E-1,1.505374002E0,5.848804633E-1,3.056291090E0,3.456754441E0
4.451755833E-1,2.250897214E0,5.623875403E-1,2.966587200E0,3.766093152E0
4.551265833E-1,2.771249852E0,7.789915046E-1,2.747216041E0,3.979176985E0
4.650775833E-1,3.225972610E0,1.293739733E0,2.542029642E0,4.306109204E0
4.750285833E-1,3.496550760E0,1.684085231E0,2.390898414E0,4.558333633E0
4.849805833E-1,3.389525664E0,1.640105984E0,2.520285602E0,4.531078390E0
4.949315833E-1,2.877424763E0,1.223396924E0,2.884136782E0,4.253765188E0
5.048825833E-1,2.154258965E0,8.271736579E-1,2.948568420E0,3.744209353E0
5.148335833E-1,1.517392661E0,6.721332000E-1,2.979885523E0,3.410859313E0
5.247845833E-1,1.106001425E0,9.075064342E-1,3.216155720E0,3.520009190E0
5.347355833E-1,8.552203394E-1,1.224466380E0,3.374245135E0,3.690020322E0
5.446865833E-1,6.937006550E-1,1.189623041E0,3.511345970E0,3.771733567E0
5.546385833E-1,6.877530134E-1,1.021415165E0,3.529573495E0,3.738205747E0
5.645895833E-1,6.170370796E-1,9.735741238E-1,3.251557102E0,3.449812302E0
5.745405833E-1,1.437444413E-1,1.103669117E0,2.996009220E0,3.196063083E0
5.844915833E-1,-3.144220349E-1,8.318542079E-1,2.367509551E0,2.529020386E0
5.944425833E-1,-8.560866044E-1,5.237374449E-1,1.753557170E0,2.020432611E0
6.043935833E-1,-1.370568053E0,3.847864779E-1,1.159444976E0,1.835982047E0
6.143445833E-1,-1.566155078E0,2.231513840E-1,8.459745759E-1,1.793965231E0
6.242965833E-1,-1.697916089E0,4.091862876E-1,1.043989949E0,2.034764723E0
