"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.947708341E-3,2.275573341E-1,1.573520815E0,-1.536362929E0,2.210918621E0
1.189870834E-2,2.671363328E-1,1.572410429E0,-2.111762279E0,2.646389295E0
2.185070833E-2,4.510234445E-1,1.560354494E0,-2.179674765E0,2.718291812E0
3.180270834E-2,3.701496911E-1,1.495830908E0,-1.838771567E0,2.399083528E0
4.175370834E-2,1.540003479E-1,1.349742464E0,-1.344987069E0,1.911677547E0
5.170570833E-2,-4.469154831E-2,1.210777756E0,-6.980856282E-1,1.398321727E0
6.165770834E-2,-1.569941954E-1,1.134354866E0,-2.682059348E-2,1.145481333E0
7.160970834E-2,1.870980918E-1,1.157736566E0,6.311092812E-1,1.331787737E0
8.156070834E-2,4.925854168E-1,1.212095060E0,1.148078574E0,1.740660576E0
9.151270834E-2,6.874502738E-1,1.308584059E0,1.435408412E0,2.060431369E0
1.014647083E-1,6.495737650E-1,1.340083741E0,1.336720861E0,2.001147962E0
1.114167083E-1,6.529329903E-1,1.381147713E0,1.197831947E0,1.941311894E0
1.213677083E-1,8.391875665E-1,1.520944260E0,8.842720842E-1,1.949216338E0
1.313197083E-1,8.361727421E-1,1.719929248E0,1.399928677E-1,1.917534739E0
1.412717083E-1,6.156680272E-1,1.856231792E0,-8.677876139E-1,2.139555778E0
1.512237083E-1,4.143538009E-1,2.012891124E0,-1.605471756E0,2.607864895E0
1.611747083E-1,3.068205449E-1,2.132398272E0,-1.894737023E0,2.869022416E0
1.711267083E-1,1.279613079E-1,2.193031121E0,-1.962289320E0,2.945562590E0
1.810787083E-1,-1.766033082E-1,2.159192992E0,-1.821203608E0,2.830209477E0
1.910307083E-1,-2.710880639E-1,2.081028290E0,-1.561015375E0,2.615518397E0
2.009817083E-1,-1.686321645E-1,2.030300478E0,-1.341362380E0,2.439223211E0
2.109337083E-1,-4.199240047E-2,2.009042195E0,-1.281489231E0,2.383323006E0
2.208857083E-1,1.026384056E-1,2.012492491E0,-1.293840305E0,2.394719900E0
2.308377083E-1,2.941907419E-1,2.032311189E0,-1.333538806E0,2.448502136E0
2.407887083E-1,3.618341465E-1,2.019649044E0,-1.330759040E0,2.445572700E0
2.507407083E-1,2.721836859E-1,2.001847634E0,-1.300704351E0,2.402771258E0
2.606927083E-1,1.611766722E-1,1.969707390E0,-1.220817352E0,2.322955043E0
